word,max_lem_cat,max_lem_lemma,marking
oficial,ADJECTIVE,oficial,
feo,ADJECTIVE,feo,
olorosa,ADJECTIVE,oloroso,
oloroso,ADJECTIVE,oloroso,
olvidadizo,ADJECTIVE,olvidadizo,
ominoso,ADJECTIVE,ominoso,
omnipotente,ADJECTIVE,omnipotente,
ondulado,ADJECTIVE,ondulado,
opaco,ADJECTIVE,opaco,
opcional,ADJECTIVE,opcional,
operativo,ADJECTIVE,operativo,
oportunista,ADJECTIVE,oportunista,
oportuno,ADJECTIVE,oportuno,
oprimido,ADJECTIVE,oprimido,
óptica,ADJECTIVE,óptico,
óptico,ADJECTIVE,óptico,
optimista,ADJECTIVE,optimista,
óptimo,ADJECTIVE,óptimo,
opuesto,ADJECTIVE,opuesto,
opuestos,ADJECTIVE,opuesto,
oral,ADJECTIVE,oral,
ordenada,ADJECTIVE,ordenado,
ordenado,ADJECTIVE,ordenado,
ordinaria,ADJECTIVE,ordinario,
ordinario,ADJECTIVE,ordinario,
orgánica,ADJECTIVE,orgánico,
orgánico,ADJECTIVE,orgánico,
organizado,ADJECTIVE,organizado,
organizador,ADJECTIVE,organizador,
orgullosa,ADJECTIVE,orgulloso,
orgulloso,ADJECTIVE,orgulloso,
orientado,ADJECTIVE,orientado,
oriental,ADJECTIVE,oriental,
orientales,ADJECTIVE,oriental,
original,ADJECTIVE,original,
originales,ADJECTIVE,original,
originario,ADJECTIVE,originario,
originarios,ADJECTIVE,originario,
oriundo,ADJECTIVE,oriundo,
osado,ADJECTIVE,osado,
oscura,ADJECTIVE,oscuro,
oscuras,ADJECTIVE,oscuro,
oscuro,ADJECTIVE,oscuro,
oscuros,ADJECTIVE,oscuro,
óseo,ADJECTIVE,óseo,
ostentoso,ADJECTIVE,ostentoso,
ovino,ADJECTIVE,ovino,
ovíparo,ADJECTIVE,ovíparo,
oxidado,ADJECTIVE,oxidado,
pagano,ADJECTIVE,pagano,
pálido,ADJECTIVE,pálido,
palpable,ADJECTIVE,palpable,
fritas,ADJECTIVE,frito,
higiénico,ADJECTIVE,higiénico,
paquetes,ADJECTIVE,paquete,
paraguaya,ADJECTIVE,paraguayo,
paralela,ADJECTIVE,paralelo,
paralelas,ADJECTIVE,paralelo,
paralelo,ADJECTIVE,paralelo,
paralizado,ADJECTIVE,paralizado,
paranoico,ADJECTIVE,paranoico,
paranormal,ADJECTIVE,paranormal,
parásitos,ADJECTIVE,parásito,
parcial,ADJECTIVE,parcial,
parciales,ADJECTIVE,parcial,
parco,ADJECTIVE,parco,
parecido,ADJECTIVE,parecido,
parecidos,ADJECTIVE,parecido,
parejo,ADJECTIVE,parejo,
parejos,ADJECTIVE,parejo,
parental,ADJECTIVE,parental,
parlamentario,ADJECTIVE,parlamentario,
parlanchín,ADJECTIVE,parlanchín,
parlante,ADJECTIVE,parlante,
participante,ADJECTIVE,participante,
particular,ADJECTIVE,particular,
partidario,ADJECTIVE,partidario,
político,ADJECTIVE,político,
pasada,ADJECTIVE,pasado,
pasado,ADJECTIVE,pasado,
pasajeros,ADJECTIVE,pasajero,
pasional,ADJECTIVE,pasional,
pasivo,ADJECTIVE,pasivo,
pasmado,ADJECTIVE,pasmado,
pastoso,ADJECTIVE,pastoso,
patente,ADJECTIVE,patente,
patético,ADJECTIVE,patético,
patrio,ADJECTIVE,patrio,
patriota,ADJECTIVE,patriota,
patriótico,ADJECTIVE,patriótico,
paupérrimo,ADJECTIVE,paupérrimo,
pausado,ADJECTIVE,pausado,
peatonal,ADJECTIVE,peatonal,
pecaminoso,ADJECTIVE,pecaminoso,
peculiar,ADJECTIVE,peculiar,
pedante,ADJECTIVE,pedante,
pedófilo,ADJECTIVE,pedófilo,
pegado,ADJECTIVE,pegado,
pegados,ADJECTIVE,pegado,
pegajosa,ADJECTIVE,pegajoso,
pegajoso,ADJECTIVE,pegajoso,
pelada,ADJECTIVE,pelado,
pelado,ADJECTIVE,pelado,
peleador,ADJECTIVE,peleador,
peleadora,ADJECTIVE,peleador,
peligrosa,ADJECTIVE,peligroso,
peligrosas,ADJECTIVE,peligroso,
peligroso,ADJECTIVE,peligroso,
peligrosos,ADJECTIVE,peligroso,
pelirrojo,ADJECTIVE,pelirrojo,
pelotas,ADJECTIVE,pelota,
peluda,ADJECTIVE,peludo,
peludo,ADJECTIVE,peludo,
penal,ADJECTIVE,penal,
penetrante,ADJECTIVE,penetrante,
penoso,ADJECTIVE,penoso,
pensador,ADJECTIVE,pensador,
pensante,ADJECTIVE,pensante,
pensantes,ADJECTIVE,pensante,
pensativo,ADJECTIVE,pensativo,
peor,ADJECTIVE,peor,
pequeña,ADJECTIVE,pequeño,
pequeñas,ADJECTIVE,pequeño,
pequeñito,ADJECTIVE,pequeñito,
pequeño,ADJECTIVE,pequeño,
pequeños,ADJECTIVE,pequeño,
perdida,ADJECTIVE,perdido,
perdidas,ADJECTIVE,perdido,
perdidos,ADJECTIVE,perdido,
perdurable,ADJECTIVE,perdurable,
perenne,ADJECTIVE,perenne,
perezoso,ADJECTIVE,perezoso,
perfeccionista,ADJECTIVE,perfeccionista,
perfecta,ADJECTIVE,perfecto,
perfecto,ADJECTIVE,perfecto,
perjudicial,ADJECTIVE,perjudicial,
permanente,ADJECTIVE,permanente,
permisivo,ADJECTIVE,permisivo,
peronista,ADJECTIVE,peronista,
perpendicular,ADJECTIVE,perpendicular,
perpetua,ADJECTIVE,perpetuo,
perpetuo,ADJECTIVE,perpetuo,
perplejo,ADJECTIVE,perplejo,
perra,NOUN,perro,H
perseverante,ADJECTIVE,perseverante,
persistente,ADJECTIVE,persistente,
personal,ADJECTIVE,personal,
personales,ADJECTIVE,personal,
perspicaz,ADJECTIVE,perspicaz,
persuasivo,ADJECTIVE,persuasivo,
perteneciente,ADJECTIVE,perteneciente,
pertinaz,ADJECTIVE,pertinaz,
pertinente,ADJECTIVE,pertinente,
perturbado,ADJECTIVE,perturbado,
perverso,ADJECTIVE,perverso,
pervertido,ADJECTIVE,pervertido,
pesada,ADJECTIVE,pesado,
pesadas,ADJECTIVE,pesado,
pesado,ADJECTIVE,pesado,
pesados,ADJECTIVE,pesado,
pesimista,ADJECTIVE,pesimista,
pésimo,ADJECTIVE,pésimo,
petisa,ADJECTIVE,petiso,
petulante,ADJECTIVE,petulante,
peyorativo,ADJECTIVE,peyorativo,
pianista,ADJECTIVE,pianista,
picada,ADJECTIVE,picado,
picado,ADJECTIVE,picado,
picante,ADJECTIVE,picante,
pinos,ADJECTIVE,pino,
pintado,ADJECTIVE,pintado,
pintoresco,ADJECTIVE,pintoresco,
pirata,ADJECTIVE,pirata,
placentero,ADJECTIVE,placentero,
plana,ADJECTIVE,plano,
planchado,ADJECTIVE,planchado,
planetario,ADJECTIVE,planetario,
plástica,ADJECTIVE,plástico,
plateada,ADJECTIVE,plateado,
plateado,ADJECTIVE,plateado,
plena,ADJECTIVE,pleno,
pleno,ADJECTIVE,pleno,
plural,ADJECTIVE,plural,
pobre,ADJECTIVE,pobre,
pobrecito,ADJECTIVE,pobrecito,
común,ADJECTIVE,común,
poderosa,ADJECTIVE,poderoso,
poderoso,ADJECTIVE,poderoso,
podrida,ADJECTIVE,podrido,
podrido,ADJECTIVE,podrido,
polar,ADJECTIVE,polar,
policial,ADJECTIVE,policial,
político,ADJECTIVE,político,
pomposo,ADJECTIVE,pomposo,
pop,ADJECTIVE,pop,
popular,ADJECTIVE,popular,
populares,ADJECTIVE,popular,
poquito,ADJECTIVE,poquito,
porcelana,ADJECTIVE,porcelano,
porcino,ADJECTIVE,porcino,
porfiado,ADJECTIVE,porfiado,
porno,ADJECTIVE,porno,
pornográfico,ADJECTIVE,pornográfico,
portátil,ADJECTIVE,portátil,
porteño,ADJECTIVE,porteño,
posesivo,ADJECTIVE,posesivo,
posible,ADJECTIVE,posible,
posibles,ADJECTIVE,posible,
positiva,ADJECTIVE,positivo,
positivas,ADJECTIVE,positivo,
positivo,ADJECTIVE,positivo,
positivos,ADJECTIVE,positivo,
postal,ADJECTIVE,postal,
posterior,ADJECTIVE,posterior,
potable,ADJECTIVE,potable,
potente,ADJECTIVE,potente,
práctica,ADJECTIVE,práctico,
práctico,ADJECTIVE,práctico,
pragmático,ADJECTIVE,pragmático,
precaria,ADJECTIVE,precario,
precario,ADJECTIVE,precario,
precavido,ADJECTIVE,precavido,
preciado,ADJECTIVE,preciado,
preciosa,ADJECTIVE,precioso,
preciosas,ADJECTIVE,precioso,
precioso,ADJECTIVE,precioso,
preciosos,ADJECTIVE,precioso,
preciso,ADJECTIVE,preciso,
precoz,ADJECTIVE,precoz,
predecible,ADJECTIVE,predecible,
predilecto,ADJECTIVE,predilecto,
predispuesto,ADJECTIVE,predispuesto,
predominante,ADJECTIVE,predominante,
prehistórico,ADJECTIVE,prehistórico,
premiado,ADJECTIVE,premiado,
prendido,ADJECTIVE,prendido,
preocupado,ADJECTIVE,preocupado,
preocupante,ADJECTIVE,preocupante,
preparada,ADJECTIVE,preparado,
preparado,ADJECTIVE,preparado,
prepotente,ADJECTIVE,prepotente,
prescindible,ADJECTIVE,prescindible,
presentable,ADJECTIVE,presentable,
preservativo,ADJECTIVE,preservativo,
preso,ADJECTIVE,preso,H
presumido,ADJECTIVE,presumido,
pretencioso,ADJECTIVE,pretencioso,
prevenido,ADJECTIVE,prevenido,
previa,ADJECTIVE,previo,
previo,ADJECTIVE,previo,
previsor,ADJECTIVE,previsor,
previsto,ADJECTIVE,previsto,
primaria,ADJECTIVE,primario,
primario,ADJECTIVE,primario,
primas,ADJECTIVE,primo,
primaveras,ADJECTIVE,primavera,
primer,ADJECTIVE,primero,
primera,ADJECTIVE,primero,
primero,ADJECTIVE,primero,
primeros,ADJECTIVE,primero,
primitiva,ADJECTIVE,primitivo,
primitivo,ADJECTIVE,primitivo,
primitivos,ADJECTIVE,primitivo,
primordial,ADJECTIVE,primordial,
principal,ADJECTIVE,principal,
prioritario,ADJECTIVE,prioritario,
privada,ADJECTIVE,privado,
privado,ADJECTIVE,privado,
privilegiado,ADJECTIVE,privilegiado,
proactivo,ADJECTIVE,proactivo,
probable,ADJECTIVE,probable,
problemática,ADJECTIVE,problemático,
problemático,ADJECTIVE,problemático,
prócer,ADJECTIVE,prócer,
productivo,ADJECTIVE,productivo,
productor,ADJECTIVE,productor,
profesional,ADJECTIVE,profesional,
profesionales,ADJECTIVE,profesional,
profunda,ADJECTIVE,profundo,
profundo,ADJECTIVE,profundo,
profundos,ADJECTIVE,profundo,
progresista,ADJECTIVE,progresista,
prohibido,ADJECTIVE,prohibido,
prolija,ADJECTIVE,prolijo,
prolijo,ADJECTIVE,prolijo,
prolongado,ADJECTIVE,prolongado,
promiscuo,ADJECTIVE,promiscuo,
pronta,ADJECTIVE,pronto,
propias,ADJECTIVE,propio,
privada,ADJECTIVE,privado,
propietario,ADJECTIVE,propietario,
protector,ADJECTIVE,protector,
protectora,ADJECTIVE,protector,
protegido,ADJECTIVE,protegido,
protestante,ADJECTIVE,protestante,
provechoso,ADJECTIVE,provechoso,
provisorio,ADJECTIVE,provisorio,
próxima,ADJECTIVE,próximo,
próximo,ADJECTIVE,próximo,
prudente,ADJECTIVE,prudente,
psicológica,ADJECTIVE,psicológico,
psicológico,ADJECTIVE,psicológico,
psicótico,ADJECTIVE,psicótico,
psiquiátrico,ADJECTIVE,psiquiátrico,
pública,ADJECTIVE,público,
pudiente,ADJECTIVE,pudiente,
puerco,ADJECTIVE,puerco,
puestos,ADJECTIVE,puesto,
pujante,ADJECTIVE,pujante,
pulcro,ADJECTIVE,pulcro,
pulido,ADJECTIVE,pulido,
puntero,ADJECTIVE,puntero,
puntiagudo,ADJECTIVE,puntiagudo,
puntilloso,ADJECTIVE,puntilloso,
cardinal,ADJECTIVE,cardinal,
cardinales,ADJECTIVE,cardinal,
puntual,ADJECTIVE,puntual,
punzante,ADJECTIVE,punzante,
pura,ADJECTIVE,puro,
puras,ADJECTIVE,puro,
puro,ADJECTIVE,puro,
putas,ADJECTIVE,puto,
putos,ADJECTIVE,puto,
putrefacto,ADJECTIVE,putrefacto,
quebrada,ADJECTIVE,quebrado,
quebradizo,ADJECTIVE,quebradizo,
quebrado,ADJECTIVE,quebrado,
quejoso,ADJECTIVE,quejoso,
quemada,ADJECTIVE,quemado,
queridos,ADJECTIVE,querido,
quieta,ADJECTIVE,quieto,
quieto,ADJECTIVE,quieto,
química,ADJECTIVE,químico,
químico,ADJECTIVE,químico,
químicos,ADJECTIVE,químico,
quisquilloso,ADJECTIVE,quisquilloso,
rabioso,ADJECTIVE,rabioso,
racial,ADJECTIVE,racial,
racional,ADJECTIVE,racional,
racista,ADJECTIVE,racista,
radial,ADJECTIVE,radial,
radiante,ADJECTIVE,radiante,
radical,ADJECTIVE,radical,
rajado,ADJECTIVE,rajado,
rallado,ADJECTIVE,rallado,
rancio,ADJECTIVE,rancio,
rapaz,ADJECTIVE,rapaz,
rápida,ADJECTIVE,rápido,
rápido,ADJECTIVE,rápido,
rápidos,ADJECTIVE,rápido,
rara,ADJECTIVE,raro,
raras,ADJECTIVE,raro,
raro,ADJECTIVE,raro,
raros,ADJECTIVE,raro,
rasgado,ADJECTIVE,rasgado,
raso,ADJECTIVE,raso,
rastrero,ADJECTIVE,rastrero,
ratero,ADJECTIVE,ratero,
rayada,ADJECTIVE,rayado,
rayado,ADJECTIVE,rayado,
razonable,ADJECTIVE,razonable,
rea,ADJECTIVE,reo,
reacio,ADJECTIVE,reacio,
reales,ADJECTIVE,real,
realizable,ADJECTIVE,realizable,
realizada,ADJECTIVE,realizado,
rebelde,ADJECTIVE,rebelde,
rebuscado,ADJECTIVE,rebuscado,
recatado,ADJECTIVE,recatado,
reciclable,ADJECTIVE,reciclable,
reciente,ADJECTIVE,reciente,
recio,ADJECTIVE,recio,
recluido,ADJECTIVE,recluido,
reconfortante,ADJECTIVE,reconfortante,
reconocido,ADJECTIVE,reconocido,
rectangular,ADJECTIVE,rectangular,
recto,ADJECTIVE,recto,
recurrente,ADJECTIVE,recurrente,
social,ADJECTIVE,social,
sociales,ADJECTIVE,social,
redonda,ADJECTIVE,redondo,
redondas,ADJECTIVE,redondo,
redondos,ADJECTIVE,redondo,
referente,ADJECTIVE,referente,
referentes,ADJECTIVE,referente,
refinado,ADJECTIVE,refinado,
reflexivo,ADJECTIVE,reflexivo,
refrescante,ADJECTIVE,refrescante,
refugiado,ADJECTIVE,refugiado,
regio,ADJECTIVE,regio,
regional,ADJECTIVE,regional,
regular,ADJECTIVE,regular,
reiterativo,ADJECTIVE,reiterativo,
relacionado,ADJECTIVE,relacionado,
relajada,ADJECTIVE,relajado,
relajado,ADJECTIVE,relajado,
relajante,ADJECTIVE,relajante,
relativo,ADJECTIVE,relativo,
relevante,ADJECTIVE,relevante,
religiosa,ADJECTIVE,religioso,
religioso,ADJECTIVE,religioso,
religiosos,ADJECTIVE,religioso,
rellena,ADJECTIVE,relleno,
reluciente,ADJECTIVE,reluciente,
remoto,ADJECTIVE,remoto,
rendido,ADJECTIVE,rendido,
renombrado,ADJECTIVE,renombrado,
renovable,ADJECTIVE,renovable,
reo,ADJECTIVE,reo,
repartido,ADJECTIVE,repartido,
repelente,ADJECTIVE,repelente,
repentino,ADJECTIVE,repentino,
repetitivo,ADJECTIVE,repetitivo,
repleto,ADJECTIVE,repleto,
representativo,ADJECTIVE,representativo,
reprimido,ADJECTIVE,reprimido,
republicano,ADJECTIVE,republicano,
repudiable,ADJECTIVE,repudiable,
repugnante,ADJECTIVE,repugnante,
repulsivo,ADJECTIVE,repulsivo,
resbaladizo,ADJECTIVE,resbaladizo,
resbaloso,ADJECTIVE,resbaloso,
resentido,ADJECTIVE,resentido,
reservado,ADJECTIVE,reservado,
residual,ADJECTIVE,residual,
resistente,ADJECTIVE,resistente,
respetable,ADJECTIVE,respetable,
respetuoso,ADJECTIVE,respetuoso,
resplandeciente,ADJECTIVE,resplandeciente,
responsable,ADJECTIVE,responsable,
responsables,ADJECTIVE,responsable,
restringido,ADJECTIVE,restringido,
resumido,ADJECTIVE,resumido,
retardado,ADJECTIVE,retardado,
retorcido,ADJECTIVE,retorcido,
retraído,ADJECTIVE,retraído,
retro,ADJECTIVE,retro,
reutilizable,ADJECTIVE,reutilizable,
reverente,ADJECTIVE,reverente,
revolucionario,ADJECTIVE,revolucionario,
ricas,ADJECTIVE,rico,
rico,ADJECTIVE,rico,
ridículo,ADJECTIVE,ridículo,
riesgoso,ADJECTIVE,riesgoso,
rígido,ADJECTIVE,rígido,
riguroso,ADJECTIVE,riguroso,
rioplatense,ADJECTIVE,rioplatense,
riquísimo,ADJECTIVE,riquísimo,
risueño,ADJECTIVE,risueño,
ritual,ADJECTIVE,ritual,
robusto,ADJECTIVE,robusto,
rodado,ADJECTIVE,rodado,
roja,ADJECTIVE,rojo,
rojizo,ADJECTIVE,rojizo,
rojos,ADJECTIVE,rojo,
romano,ADJECTIVE,romano,
romántica,ADJECTIVE,romántico,
románticas,ADJECTIVE,romántico,
romántico,ADJECTIVE,romántico,
roñoso,ADJECTIVE,roñoso,
rosada,ADJECTIVE,rosado,
rosado,ADJECTIVE,rosado,
rotas,ADJECTIVE,roto,
rotos,ADJECTIVE,roto,
rotundo,ADJECTIVE,rotundo,
rubia,ADJECTIVE,rubio,
rubios,ADJECTIVE,rubio,
ruda,ADJECTIVE,rudo,
rudo,ADJECTIVE,rudo,
rugosa,ADJECTIVE,rugoso,
rugoso,ADJECTIVE,rugoso,
ruidosa,ADJECTIVE,ruidoso,
ruidoso,ADJECTIVE,ruidoso,
ruin,ADJECTIVE,ruin,
rural,ADJECTIVE,rural,
rusa,ADJECTIVE,ruso,
ruso,ADJECTIVE,ruso,
rústica,ADJECTIVE,rústico,
rústico,ADJECTIVE,rústico,
rutinario,ADJECTIVE,rutinario,
sabia,ADJECTIVE,sabio,
sabiondo,ADJECTIVE,sabiondo,
sabrosa,ADJECTIVE,sabroso,
sabrosas,ADJECTIVE,sabroso,
sabroso,ADJECTIVE,sabroso,
sabrosos,ADJECTIVE,sabroso,
sacudida,ADJECTIVE,sacudido,
sagaz,ADJECTIVE,sagaz,
sagrada,ADJECTIVE,sagrado,
sagrado,ADJECTIVE,sagrado,
salada,ADJECTIVE,salado,
saladas,ADJECTIVE,salado,
salados,ADJECTIVE,salado,
salidas,ADJECTIVE,salido,
saltarín,ADJECTIVE,saltarín,
mental,ADJECTIVE,mental,
saludable,ADJECTIVE,saludable,
saludables,ADJECTIVE,saludable,
salvaje,ADJECTIVE,salvaje,
salvajes,ADJECTIVE,salvaje,
sana,ADJECTIVE,sano,
sanas,ADJECTIVE,sano,
sangrienta,ADJECTIVE,sangriento,
sangriento,ADJECTIVE,sangriento,
sanguinario,ADJECTIVE,sanguinario,
sanguíneo,ADJECTIVE,sanguíneo,
sanitaria,ADJECTIVE,sanitario,
sanitario,ADJECTIVE,sanitario,
sano,ADJECTIVE,sano,
sanos,ADJECTIVE,sano,
satisfactorio,ADJECTIVE,satisfactorio,
satisfecha,ADJECTIVE,satisfecho,
satisfecho,ADJECTIVE,satisfecho,
saturado,ADJECTIVE,saturado,
seca,ADJECTIVE,seco,
secas,ADJECTIVE,seco,
seco,ADJECTIVE,seco,
secos,ADJECTIVE,seco,
secreta,ADJECTIVE,secreto,
secundaria,ADJECTIVE,secundario,
secundario,ADJECTIVE,secundario,
sedante,ADJECTIVE,sedante,
sedentario,ADJECTIVE,sedentario,
sediento,ADJECTIVE,sediento,
sedoso,ADJECTIVE,sedoso,
seguido,ADJECTIVE,seguido,
segunda,ADJECTIVE,segundo,
segundo,ADJECTIVE,segundo,
segura,ADJECTIVE,seguro,
seguro,ADJECTIVE,seguro,
seguros,ADJECTIVE,seguro,
seleccionado,ADJECTIVE,seleccionado,
selectivo,ADJECTIVE,selectivo,
selecto,ADJECTIVE,selecto,
semanal,ADJECTIVE,semanal,
semejantes,ADJECTIVE,semejante,
semental,ADJECTIVE,semental,
sencilla,ADJECTIVE,sencillo,
sencillo,ADJECTIVE,sencillo,
sensacional,ADJECTIVE,sensacional,
sensato,ADJECTIVE,sensato,
sensible,ADJECTIVE,sensible,
sensorial,ADJECTIVE,sensorial,
sensual,ADJECTIVE,sensual,
sentada,ADJECTIVE,sentado,
sentado,ADJECTIVE,sentado,
común,ADJECTIVE,común,
sentimental,ADJECTIVE,sentimental,
separados,ADJECTIVE,separado,
sepia,ADJECTIVE,sepia,
séptimo,ADJECTIVE,séptimo,
feliz,ADJECTIVE,feliz,
humano,ADJECTIVE,humano,
vivo,ADJECTIVE,vivo,
vivos,ADJECTIVE,vivo,
seria,ADJECTIVE,serio,
serio,ADJECTIVE,serio,
serios,ADJECTIVE,serio,
servicial,ADJECTIVE,servicial,
servil,ADJECTIVE,servil,
severo,ADJECTIVE,severo,
sexto,ADJECTIVE,sexto,
sexual,ADJECTIVE,sexual,
sexuales,ADJECTIVE,sexual,
sexy,ADJECTIVE,sexy,
sigiloso,ADJECTIVE,sigiloso,
significativo,ADJECTIVE,significativo,
siguiente,ADJECTIVE,siguiente,
silencioso,ADJECTIVE,silencioso,
silvestre,ADJECTIVE,silvestre,
silvestres,ADJECTIVE,silvestre,
simbólico,ADJECTIVE,simbólico,
similar,ADJECTIVE,similar,
similares,ADJECTIVE,similar,
simpática,ADJECTIVE,simpático,
simpático,ADJECTIVE,simpático,
simpáticos,ADJECTIVE,simpático,
simple,ADJECTIVE,simple,
simples,ADJECTIVE,simple,
sincera,ADJECTIVE,sincero,
sincero,ADJECTIVE,sincero,
sindical,ADJECTIVE,sindical,
singular,ADJECTIVE,singular,
siniestro,ADJECTIVE,siniestro,
sinónimo,ADJECTIVE,sinónimo,
sinuoso,ADJECTIVE,sinuoso,
nervioso,ADJECTIVE,nervioso,
solar,ADJECTIVE,solar,
soberano,ADJECTIVE,soberano,
soberbio,ADJECTIVE,soberbio,
sobrante,ADJECTIVE,sobrante,
sobrenatural,ADJECTIVE,sobrenatural,
sobresaliente,ADJECTIVE,sobresaliente,
sobrevalorado,ADJECTIVE,sobrevalorado,
sobreviviente,ADJECTIVE,sobreviviente,
sobrio,ADJECTIVE,sobrio,
sociable,ADJECTIVE,sociable,
social,ADJECTIVE,social,
sociales,ADJECTIVE,social,
soez,ADJECTIVE,soez,
sofisticado,ADJECTIVE,sofisticado,
sofocante,ADJECTIVE,sofocante,
sola,ADJECTIVE,solo,
solar,ADJECTIVE,solar,
soleado,ADJECTIVE,soleado,
solemne,ADJECTIVE,solemne,
solícito,ADJECTIVE,solícito,
sólida,ADJECTIVE,sólido,
solidaria,ADJECTIVE,solidario,
solidario,ADJECTIVE,solidario,
solitaria,ADJECTIVE,solitario,
solitario,ADJECTIVE,solitario,
solo,ADJECTIVE,solo,
solos,ADJECTIVE,solo,
soltero,ADJECTIVE,soltero,H
solvente,ADJECTIVE,solvente,
sombrío,ADJECTIVE,sombrío,
sometido,ADJECTIVE,sometido,
somnoliento,ADJECTIVE,somnoliento,
sonoro,ADJECTIVE,sonoro,
sonriente,ADJECTIVE,sonriente,
sonso,ADJECTIVE,sonso,
soñador,ADJECTIVE,soñador,
sordo,ADJECTIVE,sordo,
sordos,ADJECTIVE,sordo,
sorprendente,ADJECTIVE,sorprendente,
sorprendido,ADJECTIVE,sorprendido,
sorpresivo,ADJECTIVE,sorpresivo,
soso,ADJECTIVE,soso,
sospechoso,ADJECTIVE,sospechoso,
suave,ADJECTIVE,suave,
suaves,ADJECTIVE,suave,
súbito,ADJECTIVE,súbito,
subjetiva,ADJECTIVE,subjetivo,
subjetivo,ADJECTIVE,subjetivo,
sublime,ADJECTIVE,sublime,
subordinada,ADJECTIVE,subordinado,
subordinado,ADJECTIVE,subordinado,
subterráneo,ADJECTIVE,subterráneo,
subversivo,ADJECTIVE,subversivo,
sucia,ADJECTIVE,sucio,
sucias,ADJECTIVE,sucio,
sucio,ADJECTIVE,sucio,
sucios,ADJECTIVE,sucio,
suelta,ADJECTIVE,suelto,
suelto,ADJECTIVE,suelto,
sueltos,ADJECTIVE,suelto,
suertudo,ADJECTIVE,suertudo,
suficiente,ADJECTIVE,suficiente,
sujetos,ADJECTIVE,sujeto,
sumatoria,ADJECTIVE,sumatorio,
sumisa,ADJECTIVE,sumiso,
sumiso,ADJECTIVE,sumiso,
sumo,ADJECTIVE,sumo,
suntuoso,ADJECTIVE,suntuoso,
superficial,ADJECTIVE,superficial,
superfluo,ADJECTIVE,superfluo,
superior,ADJECTIVE,superior,
superiores,ADJECTIVE,superior,
superlativo,ADJECTIVE,superlativo,
sureño,ADJECTIVE,sureño,
suspicaz,ADJECTIVE,suspicaz,
sustancial,ADJECTIVE,sustancial,
sustantivo,ADJECTIVE,sustantivo,
sustantivos,ADJECTIVE,sustantivo,
sustentable,ADJECTIVE,sustentable,
sutil,ADJECTIVE,sutil,
periódica,ADJECTIVE,periódico,
tabú,ADJECTIVE,tabú,
tacaño,ADJECTIVE,tacaño,
taciturno,ADJECTIVE,taciturno,
tacos,ADJECTIVE,taco,
táctica,ADJECTIVE,táctico,
táctil,ADJECTIVE,táctil,
tajante,ADJECTIVE,tajante,
talar,ADJECTIVE,talar,
talentoso,ADJECTIVE,talentoso,
tangible,ADJECTIVE,tangible,
tapado,ADJECTIVE,tapado,
tarado,ADJECTIVE,tarado,
tardío,ADJECTIVE,tardío,
teatral,ADJECTIVE,teatral,
técnico,ADJECTIVE,técnico,
tedioso,ADJECTIVE,tedioso,
tejido,ADJECTIVE,tejido,
tejido,ADJECTIVE,tejido,
temática,ADJECTIVE,temático,
temerario,ADJECTIVE,temerario,
temeroso,ADJECTIVE,temeroso,
temible,ADJECTIVE,temible,
temperamental,ADJECTIVE,temperamental,
templado,ADJECTIVE,templado,
temporal,ADJECTIVE,temporal,
tenaz,ADJECTIVE,tenaz,
tenebroso,ADJECTIVE,tenebroso,
tensa,ADJECTIVE,tenso,
tenso,ADJECTIVE,tenso,
tenue,ADJECTIVE,tenue,
terca,ADJECTIVE,terco,
tercer,ADJECTIVE,tercero,
tercera,ADJECTIVE,tercero,
tercero,ADJECTIVE,tercero,
terciario,ADJECTIVE,terciario,
terco,ADJECTIVE,terco,
terrenal,ADJECTIVE,terrenal,
terrestre,ADJECTIVE,terrestre,
terrible,ADJECTIVE,terrible,
terrorífico,ADJECTIVE,terrorífico,
terrorista,ADJECTIVE,terrorista,
terso,ADJECTIVE,terso,
testarudo,ADJECTIVE,testarudo,
tétrico,ADJECTIVE,tétrico,
textil,ADJECTIVE,textil,
tibia,ADJECTIVE,tibio,
tibio,ADJECTIVE,tibio,
libre,ADJECTIVE,libre,
tierna,ADJECTIVE,tierno,
tierno,ADJECTIVE,tierno,
tiernos,ADJECTIVE,tierno,
tieso,ADJECTIVE,tieso,
tímida,ADJECTIVE,tímido,
tímido,ADJECTIVE,tímido,
típico,ADJECTIVE,típico,
tirado,ADJECTIVE,tirado,
tirano,ADJECTIVE,tirano,
tirante,ADJECTIVE,tirante,
tolerante,ADJECTIVE,tolerante,
tomado,ADJECTIVE,tomado,
tonta,ADJECTIVE,tonto,
tonto,ADJECTIVE,tonto,
tontos,ADJECTIVE,tonto,
torcido,ADJECTIVE,torcido,
tordo,ADJECTIVE,tordo,
tormentoso,ADJECTIVE,tormentoso,
torpe,ADJECTIVE,torpe,
fritas,ADJECTIVE,frito,
tosca,ADJECTIVE,tosco,
tosco,ADJECTIVE,tosco,
tostada,ADJECTIVE,tostado,
tostado,ADJECTIVE,tostado,
total,ADJECTIVE,total,
tóxica,ADJECTIVE,tóxico,
tóxico,ADJECTIVE,tóxico,
tóxicos,ADJECTIVE,tóxico,
tozudo,ADJECTIVE,tozudo,
trabado,ADJECTIVE,trabado,
trabajadora,ADJECTIVE,trabajador,
trabajoso,ADJECTIVE,trabajoso,
