"response","correction"
"alcoholicos","alcohólicos"
"aleacion","aleación"
"alegria","alegría"
"alegrìa","alegría"
"alegrias","alegrías"
"aleman","alemán"
"alemania","Alemania"
"alfareria","alfarería"
"algarabia","algarabía"
"algebra","álgebra"
"algodon","algodón"
"alicia","Alicia"
"alienacion","alienación"
"alienigena","alienígena"
"alimentacion","alimentación"
"alineacion","alineación"
"alla","allá"
"allar","hallar"
"alli","allí"
"almacen","almacén"
"almohadon","almohadón"
"altaneria","altanería"
"alteracion","alteración"
"altisimo","altísimo"
"alumento","alimento"
"am","AM"
"amarrillo","amarillo"
"amazonas","Amazonas"
"ambicion","ambición"
"ambiguedad","ambigüedad"
"ambiguedades","ambigüedades"
"ambito","ámbito"
"ambitos","ámbitos"
"amen","amén"
"america","América"
"America","América"
"américa","América"
"amir","amor"
"Amor","amor"
"amot","amor"
"ana","Ana"
"analgesico","analgésico"
"analgesicos","analgésicos"
"analisis","análisis"
"analitica","analítica"
"analitico","analítico"
"anana","ananá"
"anarquia","anarquía"
"anatomia","anatomía"
"ancap","ANCAP"
"anciedad","ansiedad"
"ancioso","ansioso"
"andes","Andes"
"andres","Andrés"
"andrés","Andrés"
"anecdota","anécdota"
"anecdotas","anécdotas"
"anelido","anélido"
"anelo","anhelo"
"anfitrion","anfitrión"
"angel","ángel"
"angeles","ángeles"
"angulo","ángulo"
"angulos","ángulos"
"animacion","animación"
"animalito","animalizo"
"anime","animé"
"animeé","animé"
"animo","ánimo"
"aninal","animal"
"anonimo","anónimo"
"anonimos","anónimos"
"anor","amor"
"anotacion","anotación"
"antartida","Antártida"
"antel","ANTEL"
"antibiotico","antibiótico"
"antibioticos","antibióticos"
"anticipacion","anticipación"
"antiestetico","antiestético"
"antigüa","antigua"
"antiguedad","antigüedad"
"antiguedades","antigüedades"
"antigüo","antiguo"
"antigüos","antiguos"
"antihigienico","antihigiénico"
"antilope","antílope"
"antipatico","antipático"
"antitesis","antítesis"
"antonimo","antónimo"
"antonio","Antonio"
"antropologia","antropología"
"apagon","apagón"
"apatia","apatía"
"apatica","apática"
"apatico","apático"
"apendice","apéndice"
"apendices","apéndices"
"aplicacion","aplicación"
"apostol","apóstol"
"Apostol","apóstol"
"Apóstol","apóstol"
"apostoles","apóstoles"
"apple","Apple"
"apreciacion","apreciación"
"aprendisaje","aprendizaje"
"aprobacion","aprobación"
"apropiacion","apropiación"
"aproximacion","aproximación"
"aqui","aquí"
"aquiles","Aquiles"
"arabe","árabe"
"arabia","Arabia"
"aracnido","arácnido"
"aragan","haragán"
"aragán","haragán"
"aragana","haragána"
"aragána","haragána"
"arbitro","árbitro"
"arbol","árbol"
"arboles","árboles"
"arco iris","arcoíris"
"arcoiris","arcoíris"
"area","área"
"argentina","Argentina"
"argumentacion","argumentación"
"arida","árida"
"aridas","áridas"
"arido","árido"
"aridos","áridos"
"ariel","Ariel"
"aristoteles","Aristóteles"
"aritmetica","aritmética"
"arjona","Arjona"
"armazon","armazón"
"armonia","armonía"
"armonica","armónica"
"armonico","armónico"
"aromatico","aromático"
"artesania","artesanía"
"artesanias","artesanías"
"articulacion","articulación"
"articulo","artículo"
"articulos","artículos"
"artigas","Artigas"
"artistica","artística"
"artisticas","artísticas"
"artistico","artístico"
"arto","harto"
"asecino","asesino"
"asensor","ascensor"
"asi","así"
"asia","Asia"
"asiatico","asiático"
"asincronica","asincrónica"
"asincronico","asincrónico"
"asincronicas","asincrónicas"
"asincronicos","asincrónicos"
"asociacion","asociación"
"Asociacion","asociación"
"Asociación","asociación"
"aspera","áspera"
"aspero","áspero"
"astio","hastío"
"astrologia","astrología"
"astronomia","astronomía"
"ataud","ataúd"
"atenas","Atenas"
"atencion","atención"
"atipica","atípica"
"atipicas","atípicas"
"atipico","atípico"
"atipicos","atípicos"
"atletica","atlética"
"atleticas","atléticas"
"atletico","atlético"
"atleticos","atléticos"
"atmosfera","atmósfera"
"atmosferica","atmosférica"
"atmosferico","atmosférico"
"atomica","atómica"
"atomo","átomo"
"atomos","átomos"
"atonito","atónito"
"atraccion","atracción"
"atras","atrás"
"atrazo","atraso"
"atun","atún"
"audas","audaz"
"audicion","audición"
"audifono","audífono"
"aujero","agujero"
"aun","aún"
"australia","Australia"
"autentica","auténtica"
"autentico","auténtico"
"autobus","autobús"
"autoctono","autóctono"
"automatico","automático"
"automovil","automóvil"
"autonoma","autónoma"
"autonomas","autónomas"
"autonomia","autonomía"
"autonomo","autónomo"
"autonomos","autónomos"
"autorizacion","autorización"
"aveja","abeja"
"avejas","abejas"
"avion","avión"
"azco","asco"
"azno","asno"
"azucar","azúcar"
"B","b"
"baga","vaga"
"bagas","vagas"
"bago","vago"
"bagos","vagos"
"bailarin","bailarín"
"baisboll","béisbol"
"bajon","bajón"
"balcon","balcón"
"baldio","baldío"
"balon","balón"
"bambi","Bambi"
"bambu","bambú"
"Banco","banco"
"bandoneon","bandoneón"
"bano","vano"
"bara","vara"
"barbara","bárbara"
"barbaras","bárbaras"
"barbaro","bárbaro"
"barbaros","bárbaros"
"barbie","Barbie"
"barcelona","Barcelona"
"bariloche","Bariloche"
"bart","Bart"
"bart simpson","Bart Simpson"
"bart simpsons","Bart Simpson"
"baseball","béisbol"
"baseboll","béisbol"
"basica","básica"
"basico","básico"
"basket","básquetbol"
"basketball","básquetbol"
"Basketball","básquetbol"
"basketbol","básquetbol"
"baso","vaso"
"basquet","básquetbol"
"básquet","básquetbol"
"basquetball","básquetbol"
"basquetbol","básquetbol"
"baston","bastón"
"bateria","batería"
"baterias","baterías"
"batman","Batman"
"baul","baúl"
"beatles","Beatles"
"bebe","bebé"
"bebes","bebés"
"beetoven","Beethoven"
"beisbol","béisbol"
"belgrano","Belgrano"
"belica","bélica"
"belicas","bélicas"
"belico","bélico"
"belicos","bélicos"
"bendicion","bendición"
"benedetti","Benedetti"
"benevolo","benévolo"
"benevolos","benévolos"
"berlin","Berlín"
"bethoveen","Beethoven"
"bethoven","Beethoven"
"biberon","biberón"
"bibliografia","bibliografía"
"bic","BIC"
"bien estar","bienestar"
"big bang","Big Bang"
"bijou","bijouterie"
"bijouteri","bijouterie"
"bijouteria","bijouterie"
"bijoutería","bijouterie"
"biju","bijouterie"
"bijuteri","bijouterie"
"bijuteria","bijouterie"
"bijutería","bijouterie"
"bijuterie","bijouterie"
"biologia","biología"
"biologica","biológica"
"biologicas","biológicas"
"biologico","biológico"
"biologicos","biológicos"
"bioticos","bióticos"
"birodado","birrodado"
"biscocho","bizcocho"
"biscochos","bizcochos"
"biscochuelo","bizcochuelo"
"bisturi","bisturí"
"Blanca","blanca"
"blancanieves","Blancanieves"
"Blanco","blanco"
"bob","Bob"
"bob esponja","Bob Esponja"
"bocon","bocón"
"boemio","bohemio"
"boletin","boletín"
"bolido","bólido"
"bolidos","bólidos"
"boligrafo","bolígrafo"
"bolivia","Bolivia"
"bolsonaro","Bolsonaro"
"boludes","boludez"
"bombon","bombón"
"boñato","boniato"
"boñiato","boniato"
"bonomi","Bonomi"
"bordaberry","Bordaberry"
"borges","Borges"
"botiquin","botiquín"
"boton","botón"
"boveda","bóveda"
"bovedas","bóvedas"
"brasil","Brasil"
"brio","brío"
"brujeria","brujería"
"brujula","brújula"
"buchon","buchón"
"bucolica","bucólica"
"bucolicas","bucólicas"
"bucolico","bucólico"
"bucolicos","bucólicos"
"buda","Buda"
"budin","budín"
"buenisimo","buenísimo"
"Bueno","bueno"
"buenos aires","Buenos Aires"
"buho","búho"
"bulgar","vulgar"
"bulling","bullying"
"bullyng","bullying"
"burgesia","burguesía"
"burgues","burgués"
"burguesia","burguesía"
"buscaglia","Buscaglia"
"buso","buzo"
"busqueda","búsqueda"
"butia","butiá"
"buzon","buzón"
"cabala","cábala"
"caballeria","caballería"
"cabezon","cabezón"
"cabron","cabrón"
"cabutia","kabutiá"
"caceria","cacería"
"cadaver","cadáver"
"cafe","café"
"cafeteria","cafetería"
"cagaso","cagazo"
"cagon","cagón"
"caida","caída"
"caidas","caídas"
"caido","caído"
"cajon","cajón"
"calamaro","Calamaro"
"calculo","cálculo"
"calculos","cálculos"
"calefaccion","calefacción"
"calefon","calefón"
"calenton","calentón"
"calida","cálida"
"calido","cálido"
"calificacion","calificación"
"calir","calor"
"callejon","callejón"
"calorias","calorías"
"calzon","calzón"
"camaleon","camaleón"
"camara","cámara"
"camaraderia","camaradería"
"camaras","cámaras"
"camila","Camila"
"camion","camión"
"camiòn","camión"
"camison","camisón"
"campeon","campeón"
"cancer","cáncer"
"cancion","canción"
"cañeria","cañería"
"cañon","cañón"
"cánon","canon"
"cansansio","cansancio"
"cantida","cantidad"
"caotica","caótica"
"caoticas","caóticas"
"caotico","caótico"
"caoticos","caóticos"
"capacitacion","capacitación"
"caparazon","caparazón"
"capás","capaz"
"capáz","capaz"
"caperucita","Caperucita"
"capitan","capitán"
"capitulo","capítulo"
"capitulos","capítulos"
"capsula","cápsula"
"capsulas","cápsulas"
"carabana","caravana"
"caracter","carácter"
"caracteristica","característica"
"caracteristicas","características"
"caracteristico","característico"
"caracteristicos","característicos"
"carbon","carbón"
"carcaza","carcasa"
"carcel","cárcel"
"cardiaca","cardíaca"
"cardumen","cardúmen"
"cardumenes","cardúmenes"
"cardiacas","cardíacas"
"cardiaco","cardíaco"
"cardiacos","cardíacos"
"Caribe","caribe"
"carino","cariño"
"carismatico","carismático"
"carlos","Carlos"
"carnabal","carnaval"
"carniboro","carnívoro"
"carniceria","carnicería"
"carnivoro","carnívoro"
"carpinteria","carpintería"
"carpinterias","carpinterías"
"carrasco","Carrasco"
"carton","cartón"
"cascara","cáscara"
"castracion","castración"
"catastrofe","catástrofe"
"catedratico","catedrático"
"categoria","categoría"
"catolica","católica"
"catolicas","católicas"
"catolico","católico"
"catolicos","católicos"
"cause","cauce"
"cavernicola","cavernícola"
"cavernicolas","cavernícolas"
"cayo","cayó"
"cedula","cédula"
"celcius","Celsius"
"celebracion","celebración"
"celebre","célebre"
"celebres","célebres"
"celsius","Celsius"
"celula","célula"
"celulas","células"
"Cenicienta","cenicienta"
"centigrado","centígrado"
"centigrados","centígrados"
"centimetro","centímetro"
"centimetros","centímetros"
"centroamerica","centroamérica"
"ceramica","cerámica"
"cerati","Cerati"
"cercania","cercanía"
"cerrucho","serrucho"
"certesa","certeza"
"cesarea","cesárea"
"cesareas","cesáreas"
"cesped","césped"
"chaman","chamán"
"champagña","champagne"
"champaña","champagne"
"champion","champión"
"chamulla","chamuya"
"chamullar","chamuyar"
"chamullo","chamuyo"
"charlatan","charlatán"
"charrua","charrúa"
"charruas","charrúas"
"che guevara","Che Guevara"
"che Guevara","Che Guevara"
"chelo","cello"
"chernobil","Chernobyl"
"chernobyl","Chernobyl"
"chernovil","Chernobyl"
"chichon","chichón"
"chicolate","chocolate"
"chile","Chile"
"chimpance","chimpancé"
"china","China"
"chinchulin","chinchulín"
"chiquilin","chiquilín"
"choripan","choripán"
"chucherias","chucherías"
"chupetin","chupetín"
"Chusma","chusma"
"chusmerio","chusmerío"
"chusmerios","chusmeríos"
"chuy","Chuy"
"chuzma","chusma"
"cia","CIA"
"Ciencia","ciencia"
"cientifico","científico"
"cientificos","científicos"
"cinica","cínica"
"cinicas","cínicas"
"cinico","cínico"
"cinicos","cínicos"
"cinturon","cinturón"
"circulacion","circulación"
"circulo","círculo"
"circulos","círculos"
"cirugia","cirugía"
"cirujia","cirugía"
"citrico","cítrico"
"Ciudad","ciudad"
"ciudadania","ciudadanía"
"civico","cívico"
"civilizacion","civilización"
"clarin","clarín"
"clasica","clásica"
"clasico","clásico"
"clasificacion","clasificación"
"clinica","clínica"
"clinicas","clínicas"
"clinico","clínico"
"clinicos","clínicos"
"clitoris","clítoris"
"closet","clóset"
"coaccion","coacción"
"cobardia","cobardía"
"coca cola","Coca-Cola"
"Coca-cola","Coca-Cola"
"coca-cola","Coca-Cola"
"cocacola","Coca-Cola"
"cocaina","cocaína"
"coccion","cocción"
"cocer","coser"
"codigo","código"
"codigos","códigos"
"cojer","coger"
"colaboracion","colaboración"
"colchon","colchón"
"coleccion","colección"
"colera","cólera"
"colerico","colérico"
"colico","cólico"
"colicos","cólicos"
"colinizacion","colinización"
"colombia","Colombia"
"colon","Colón"
"Colon","Colón"
"colón","Colón"
"colonizacion","colonización"
"combinacion","combinación"
"combustion","combustión"
"comezon","comezón"
"comfort","confort"
"comic","cómic"
"comica","cómica"
"comicas","cómicas"
"comico","cómico"
"comicos","cómicos"
"comics","cómics"
"Comida","comida"
"comidq","comida"
"comids","comida"
"comilon","comilón"
"comisaria","comisaría"
"comoda","cómoda"
"comodida","comodidad"
"comodo","cómodo"
"comodos","cómodos"
"compacion","compasión"
"companera","compañera"
"companeras","compañeras"
"companero","compañero"
"companeros","compañeros"
"compania","compañía"
"compañia","compañía"
"comparacion","comparación"
"Compartir","compartir"
"compartit","compartir"
"compas","compás"
"compasion","compasión"
"compensacion","compensación"
"competicion","competición"
"complicacion","complicación"
"complice","cómplice"
"complices","cómplices"
"composicion","composición"
"comprencion","comprensión"
"comprención","comprensión"
"comprension","comprensión"
"compulsion","compulsión"
"computacion","computación"
"comun","común"
"comunicacion","comunicación"
"comunicaciòn","comunicación"
"comunion","comunión"
"concenso","consenso"
"concentracion","concentración"
"conciencia","consciencia"
"conciente","consciente"
"concientemente","conscientemente"
"conclucion","conclusión"
"concluído","concluido"
"conclusion","conclusión"
"condensacion","condensación"
"condicion","condición"
"condon","condón"
"condorito","Condorito"
"conduccion","conducción"
"coneccion","conexión"
"conección","conexión"
"conecciones","conexiones"
"conexion","conexión"
"confeccion","confección"
"confesion","confesión"
"confirmacion","confirmacón"
"confiteria","confitería"
"confrontacion","confrontación"
"confucion","confusión"
"confusion","confusión"
"conida","comida"
"conjugacion","conjugación"
"conjuncion","conjunción"
"conmemoracion","conmemoración"
"conpartir","compartir"
"conservacion","conservación"
"consideracion","consideración"
"consiso","conciso"
"conspiracion","conspiración"
"constelacion","constelación"
"constitucion","constitución"
"Constitucion","constitución"
"Constitución","constitución"
"construccion","construcción"
"contaminacion","contaminación"
"contemporaneo","contemporáneo"
"contencion","contención"
"contestacion","contestación"
"continuacion","continuación"
"contraccion","contracción"
"contradiccion","contradicción"
"contruccion","construcción"
"contruir","construir"
"convencion","convención"
"conversacion","conversación"
"conviccion","convicción"
"conyuge","cónyuge"
"conyugue","cónyuge"
"cónyugue","cónyuge"
"cooperacion","cooperación"
"coordinacion","coordinación"
"copetin","copetín"
"coqueteria","coquetería"
"corazon","corazón"
"cordoba","Córdoba"
"cordon","cordón"
"corea","Corea"
"corner","córner"
"corporacion","corporación"
"correccion","corrección"
"corrupcion","corrupción"
"cortesia","cortesía"
"cortez","cortés"
"cortéz","cortés"
"cosina","cocina"
"cotillon","cotillón"
"cpu","CPU"
"craneo","cráneo"
"crater","cráter"
"creacion","creación"
"credito","crédito"
"credula","crédula"
"credulas","crédulas"
"credulo","crédulo"
"credulos","crédulos"
"creible","creíble"
"creida","creída"
"creido","creído"
"cria","cría"
"crias","crías"
"crio","crío"
"crios","críos"
"cristina","Cristina"
"cristo","Cristo"
"critica","crítica"
"criticas","críticas"
"critico","crítico"
"criticos","críticos"
"crustaceo","crustáceo"
"cuadrilatero","cuadrilátero"
"cuadrille","cuadrillé"
"cuadrupedo","cuadrúpedo"
"cuantica","cuántica"
"cuanticas","cuánticas"
"cuantico","cuántico"
"cuanticos","cuánticos"
"cuba","Cuba"
"cubicos","cúbicos"
"cuestion","cuestión"
"cuidad","ciudad"
"culon","culón"
"cumpleano","cumpleaños"
"cumpleaño","cumpleaños"
"cumpleanos","cumpleaños"
"cumulo","cúmulo"
"curacion","curación"
"curriculum","currículum"
"cutcsa","CUTCSA"
"cutsa","CUTCSA"
"dadiva","dádiva"
"dadivas","dádivas"
"dali","Dalí"
"daniel","Daniel"
"danina","dañina"
"danino","dañino"
"darwin","Darwin"
"david","David"
"de mas","de más"
"debil","débil"
"debiles","débiles"
"debito","débito"
"decada","década"
"decadas","décadas"
"decaida","decaída"
"decaidas","decaídas"
"decaido","decaído"
"decaidos","decaídos"
"deceo","deseo"
"decepcion","decepción"
"decicion","decisión"
"decición","decisión"
"deciciones","decisiones"
"decision","decisión"
"declaracion","declaración"
"decoracion","decoración"
"dedicacion","dedicación"
"deduccion","deducción"
"defenza","defensa"
"deficit","déficit"
"definicion","definición"
"deglucion","deglución"
"degustacion","degustación"
"dejades","dejadez"
"dejenerado","degenerado"
"delesnable","deleznable"
"delesnar","deleznar"
"delfin","delfín"
"delicuente","delincuente"
"delimitacion","delimitación"
"demaciado","demasiado"
"demas","demás"
"demasia","demasía"
"demostracion","demostración"
"dentifrico","dentífrico"
"depilacion","depilación"
"deposito","depósito"
"deprecion","depresión"
"depreción","depresión"
"depresion","depresión"
"desacer","deshacer"
"desafio","desafío"
"desafios","desafíos"
"desague","desagüe"
"desanimo","desánimo"
"desaparicion","desaparición"
"desatencion","desatención"
"desazon","desazón"
"descanzar","descansar"
"descanzo","descanso"
"descartes","Descartes"
"descocido","descosido"
"descomposicion","descomposición"
"desconforme","disconforme"
"descortes","descortés"
"descortez","descortés"
"descortéz","descortés"
"descreido","descreído"
"descripcion","descripción"
"desden","desdén"
"desepcion","decepción"
"deseperacion","desesperación"
"desesperacion","desesperación"
"deshechar","desechar"
"deshecho","desecho"
"deshinibido","desinhibido"
"desicion","decisión"
"desición","decisión"
"desiciones","decisiones"
"desidir","decidir"
"desilucion","desilusión"
"desilución","desilusión"
"desilusion","desilusión"
"desinfeccion","desinfección"
"desinformacion","desinformación"
"desinteres","desinterés"
"desinterez","desinterés"
"desmotivacion","desmotivación"
"desolacion","desolación"
"desonesto","deshonesto"
"desorganizacion","desorganización"
"desorientacion","desorientación"
"despota","déspota"
"despreocupacion","despreocupación"
"despues","después"
"destruccion","destrucción"
"desubicacion","desubicación"
"desvia","desvía"
"desvias","desvías"
"desvio","desvío"
"desvios","desvíos"
"detencion","detención"
"detengase","deténgase"
"determinacion","determinación"
"detras","detrás"
"devaluacion","devaluación"
"devocion","devoción"
"devolucion","devolución"
"dgi","DGI"
"dia","día"
"diabolico","diabólico"
"diafano","diáfano"
"diagnostico","diagnóstico"
"diametro","diámetro"
"diametros","diámetros"
"dias","días"
"diciplina","disciplina"
"didactico","didáctico"
"diego","Diego"
"diferenciacion","diferenciación"
"dificil","difícil"
"dificiles","difíciles"
"dificl","difícil"
"difrutar","disfrutar"
"difusion","difusión"
"digestion","digestión"
"digito","dígito"
"digitos","dígitos"
"dimension","dimensión"
"dimero","dinero"
"dinamica","dinámica"
"dinamicas","dinámicas"
"dinamico","dinámico"
"dinamicos","dinámicos"
"diner","dinero"
"dineri","dinero"
"Dinero","dinero"
"Dios","dios"
"diplomatica","diplomática"
"diplomaticas","diplomáticas"
"diplomatico","diplomático"
"diplomaticos","diplomáticos"
"direccion","dirección"
"discriminacion","discriminación"
"discucion","discusión"
"discución","discusión"
"discusion","discusión"
"disiplina","disciplina"
"disminucion","disminución"
"disney","Disney"
"disposicion","disposición"
"distencion","distensión"
"distension","distensión"
"distincion","distinción"
"distopico","distópico"
"distraccion","distracción"
"distraida","distraída"
"distraido","distraído"
"distraidas","distraídas"
"distraidos","distraídos"
"distribucion","distribución"
"diu","DIU"
"divan","diván"
"divercion","diversión"
"diverción","diversión"
"diversion","diversión"
"divicion","división"
"division","división"
"dni","DNI"
"docil","dócil"
"documentacion","documentación"
"dogmatico","dogmático"
"dolar","dólar"
"dolares","dólares"
"dolir","dolor"
"domestico","doméstico"
"dominacion","dominación"
"don quijote","Don Quijote"
"donacion","donación"
"donald","Donald"
"dónde","donde"
"dormilon","dormilón"
"dormír","dormir"
"dracula","Drácula"
"drácula","Drácula"
"dragon","dragón"
"dramatico","dramático"
"ductil","dúctil"
"ductiles","dúctiles"
"Dulce","dulce"
"dumbo","Dumbo"
"duo","dúo"
"duracion","duración"
"dvd","DVD"
"e-mail","email"
"ebullicion","ebullición"
"eceptico","escéptico"
"echo","hecho"
"echos","hechos"
"ecologia","ecología"
"ecologica","ecológica"
"ecologico","ecológico"
"economia","economía"
"economica","económica"
"economicas","económicas"
"economico","económico"
"economicos","económicos"
"ecuacion","ecuación"
"ecuador","Ecuador"
"edificacion","edificación"
"edipo","Edipo"
"educacion","educación"
"EEUU","Estados Unidos"
"eeuu","Estados Unidos"
"eficas","eficaz"
"efimero","efímero"
"egipto","Egipto"
"egocentrica","egocéntrica"
"egocentricas","egocéntricas"
"egocentrico","egocéntrico"
"egocentricos","egocéntricos"
"egoismo","egoísmo"
"egoista","egoísta"
"egolatra","ególatra"
"eiffel","Eiffel"
"einstein","Einstein"
"ejecucion","ejecución"
"ejercito","ejército"
"él","el"
"elaboracion","elaboración"
"elastica","elástica"
"elastico","elástico"
"eleccion","elección"
"electrica","eléctrica"
"electrico","eléctrico"
"electrodomestico","electrodoméstico"
"electrodomesticos","electrodomésticos"
"electron","electrón"
"electronica","electrónica"
"electronico","electrónico"
"elejir","elegir"
"elevacion","elevación"
"elite","élite"
"elongacion","elongación"
"embarcacion","embarcación"
"embase","envase"
"embrion","embrión"
"emocion","emoción"
"emosion","emoción"
"emoticon","emoticón"
"empatia","empatía"
"empatica","empática"
"empaticas","empáticas"
"empatico","empático"
"empaticos","empáticos"
"empujon","empujón"
"encia","encía"
"encias","encía"
"encuadernacion","encuadernación"
"energetico","energético"
"energia","energía"
"energias","energías"
"energica","enérgica"
"energicas","enérgicas"
"energico","enérgico"
"energicos","enérgicos"
"enfasis","énfasis"
"enfernedad","enfermedad"
"enfermedas","enfermedad"
"enfermeria","enfermería"
"engreida","engreída"
"engreido","engreído"
"enriedo","enredo"
"enojon","enojón"
"entre ríos","Entre Ríos"
"envio","envío"
"epica","épica"
"epicas","épicas"
"epico","épico"
"epicos","épicos"
"epoca","época"
"epocas","épocas"
"equilatero","equilátero"
"equitacion","equitación"
"equivocacion","equivocación"
"equivoco","equívoco"
"ereccion","erección"
"erotica","erótica"
"eroticas","eróticas"
"erotico","erótico"
"eroticos","eróticos"
"erroneo","erróneo"
"erupcion","erupción"
"escacez","escasez"
"escalafon","escalafón"
"escalofrio","escalofrío"
"escalon","escalón"
"escandalo","escándalo"
"escases","escasez"
"escazo","escaso"
"escencia","esencia"
"escencial","esencial"
"escencias","esencias"
"esceptico","escéptico"
"escocia","Escocia"
"escorpion","escorpión"
"escremento","excremento"
"escrementos","excrementos"
"escuhar","escuchar"
"esdrujula","esdrújula"
"esdrujulas","esdrújulas"
"eseptico","escéptico"
"esferica","esférica"
"esfericas","esféricas"
"esferico","esférico"
"esfericos","esféricos"
"esfimero","efímero"
"eslabon","eslabón"
"esmoquin","esmóquin"
"españa","España"
"espatula","espátula"
"especifica","específica"
"especificacion","especificación"
"especifico","específico"
"espectaculo","espectáculo"
"espectante","expectante"
"espectativa","expectativa"
"espectativas","expectativas"
"especulacion","especulación"
"espia","espía"
"espiritu","espíritu"
"espiritus","espíritus"
"esplendida","espléndida"
"esplendidas","espléndidas"
"esplendido","espléndido"
"esplendidos","espléndidos"
"espontanea","espontánea"
"espontaneo","espontáneo"
"esporadico","esporádico"
"esqui","esquí"
"esquies","esquíes"
"esta bien","está bien"
"estacion","estación"
"estacion de servicio","estación de servicio"
"estadia","estadía"
"estadistica","estadística"
"estadisticas","estadísticas"
"estadistico","estadístico"
"Estado","estado"
"estados unidos","Estados Unidos"
"estandar","estándar"
"estanteria","estantería"
"estatica","estática"
"estaticas","estáticas"
"estatico","estático"
"estaticos","estáticos"
"estereo","estéreo"
"esteril","estéril"
"estetica","estética"
"esteticas","estéticas"
"estetico","estético"
"esteticos","estéticos"
"estiercol","estiércol"
"estimulo","estímulo"
"estomago","estómago"
"estres","estrés"
"estress","estrés"
"estudii","estudio"
"estupida","estúpida"
"estupidas","estúpidas"
"estupido","estúpido"
"estupidos","estúpidos"
"esuchar","escuchar"
"et","ET"
"etareo","etario"
"eter","éter"
"etereo","etéreo"
"etica","ética"
"etico","ético"
"etilica","etílica"
"etilicas","etílicas"
"etilico","etílico"
"etilicos","etílicos"
"Eucaliptus","eucaliptus"
"euforico","eufórico"
"europa","Europa"
"eva","Eva"
"evaluacion","evaluación"
"evolucion","evolución"
"exageracion","exageración"
"exalar","exhalar"
"exaltacion","exaltación"
"exámen","examen"
"examenes","exámenes"
"exaustiva","exhaustiva"
"exaustivo","exhaustivo"
"exausto","exhausto"
"excel","Excel"
"excentrica","excéntrica"
"excentricas","excéntricas"
"excentrico","excéntrico"
"excentricos","excéntricos"
"excepcion","excepción"
"excitacion","excitación"
"exclamacion","exclamación"
"excluído","excluido"
"exclusion","exclusión"
"exelencia","excelencia"
"exelente","excelente"
"exelsa","excelsa"
"exelso","excelso"
"exhibicion","exhibición"
"exhuberante","exuberante"
"exibir","exhibir"
"exitacion","excitación"
"exitación","excitación"
"exitada","excitada"
"exitado","excitado"
"exitante","excitante"
"exitar","excitar"
"exito","éxito"
"exitos","éxitos"
"exotica","exótica"
"exoticas","exóticas"
"exotico","exótico"
"exoticos","exóticos"
"expancion","expansión"
"experimentacion","experimentación"
"explicacion","explicación"
"explicito","explícito"
"explocion","explosión"
"explosion","explosión"
"explotacion","explotación"
"exportacion","exportación"
"exposicion","exposición"
"exprecion","expresión"
"expresion","expresión"
"extasis","éxtasis"
"extencion","extensión"
"extención","extensión"
"extension","extensión"
"extincion","extinción"
"extorsion","extorsión"
"extrangero","extranjero"
"extrangeros","extranjeros"
"eyaculacion","eyaculación"
"fabrica","fábrica"
"fabricacion","fabricación"
"fabricas","fábricas"
"fabula","fábula"
"fabulas","fábulas"
"faccion","facción "
"facebook","Facebook"
"facebool","Facebook"
"facil","fácil"
"facista","fascista"
